dataset,substitution_class,subset,n,rho_lambda1,rho_lambda4,ci_low,ci_high
substitution,polar -> polar,all,124,0.203,0.25,0.019,0.363
substitution,polar -> polar,"clean, hydrophobic partners",38,0.233,0.374,-0.102,0.52
substitution,intermediate,all,33,0.188,0.133,-0.199,0.529
substitution,polar -> hydrophobic,all,218,0.102,-0.025,-0.041,0.237
substitution,polar -> hydrophobic,"clean, hydrophobic partners",78,-0.028,0.027,-0.249,0.192
substitution,hydrophobic -> polar,all,162,0.356,0.636,0.211,0.484
substitution,hydrophobic -> polar,"clean, hydrophobic partners",87,0.503,0.717,0.325,0.648
alanine,hydrophobic -> hydrophobic,all,250,0.362,0.392,0.244,0.47
alanine,hydrophobic -> hydrophobic,"clean, hydrophobic partners",108,0.406,0.405,0.226,0.561
alanine,polar -> hydrophobic,all,801,0.292,0.265,0.228,0.354
alanine,polar -> hydrophobic,"clean, hydrophobic partners",152,0.287,0.26,0.134,0.427
