pdb,n,rho_E,rho_Sc,rho_BSA
1A22,64,0.1625952975540019,0.3413310745188137,-0.036152164228617
1A4Y,24,0.4278260869565217,0.6608695652173912,0.3182608695652174
1BP3,19,-0.0087796346392436,0.0640913328664783,-0.02547211488509
1BRS,12,0.0419580419580419,0.3076923076923077,0.2867132867132868
1C1Y,8,-0.1916202019061214,0.6467181814331598,-0.1676676766678562
1C4Z,32,0.2688675473689394,0.4082531790199584,0.0454837324334904
1CBW,8,0.7545045450053531,-0.0958101009530607,0.8024095954818835
1CHO,8,0.7142857142857144,0.0476190476190476,0.7142857142857144
1DAN,36,0.4173857916165489,0.3259498422034821,0.3714561855670103
1E50,14,0.0989010989010989,0.0021978021978021,-0.0022002213534027
1EAW,14,-0.2043956043956044,-0.3230769230769231,0.1650166015052091
1EMV,32,0.6502932551319648,0.5274926686217009,0.4881103555530185
1F47,10,0.7575757575757575,0.6242424242424242,0.3454545454545454
1FCC,8,0.3333333333333334,0.5476190476190477,-0.4285714285714286
1FFW,8,0.261904761904762,0.4761904761904762,0.1904761904761905
1GC1,18,-0.0340557275541795,0.3622291021671827,-0.240454076367389
1GUA,11,0.1826503059908892,0.4292282190785897,0.118722698894078
1IAR,12,0.3356643356643357,0.4755244755244756,0.2447552447552448
1JCK,8,0.203596464525254,0.6826469692905576,-0.790433332862751
1JTD,36,0.3553867966111607,0.4552709524135006,0.0024456172168098
1JTG,38,0.2060400481453113,0.3049567786409891,0.0233067075172338
1K8R,9,-0.0499999999999999,0.0166666666666666,-0.1333333333333333
1KTZ,14,0.6263736263736264,0.2307692307692307,0.6
1LFD,18,0.651186790505676,0.5521155830753354,0.5314757481940144
1PPF,8,0.523809523809524,0.6666666666666669,0.3095238095238095
1R0R,8,0.5952380952380953,0.6190476190476191,0.3095238095238095
1Z7X,15,0.6130476085134942,0.4664881219300932,0.6541557571893262
2G2U,21,0.2623376623376623,0.0883116883116883,0.2584415584415584
2WPT,23,0.2581603636753509,0.3353117367277547,0.1543408785027959
3BT1,48,0.281550236532664,0.4697389140068777,-0.2934148387831895
3EQS,9,0.6833333333333333,0.6833333333333333,0.54393781569122
3EQY,9,0.7833333333333333,0.5166666666666667,0.7698812160552653
3M62,16,0.0470588235294117,0.4352941176470588,-0.4441176470588235
3M63,9,0.1166666666666666,0.5166666666666667,-0.2666666666666666
3QHY,25,0.4708597894371395,0.7078284416375299,-0.025774187820497
3S9D,33,0.2348124015886045,0.3716888121943462,0.1815598151212496
3SE3,11,0.3233264973596543,0.4942276459640431,0.351040197133339
3SE4,24,0.428010634154581,0.4773125726453738,0.3188154519659673
3SGB,8,0.0476190476190476,0.5714285714285715,-0.1904761904761905
3SZK,8,0.5000000000000001,-0.119047619047619,0.523809523809524
4G0N,18,0.1239029592066149,-0.199277259390639,0.3593185816991832
4HFK,8,0.7380952380952381,0.7380952380952381,0.523809523809524
4OFY,11,0.4272727272727273,0.4818181818181818,0.1
4PWX,16,0.2657012381418068,0.4866213687316237,0.0925476222741124
4RS1,13,0.467032967032967,0.5384615384615384,0.3736263736263736
5M2O,14,0.0945054945054945,0.6439560439560439,-0.389010989010989
5XCO,9,0.3682040598525181,0.4267819784654187,-0.1338923854009157
